图片名称,用户名,颜色1,颜色2,颜色3,颜色4
エプロンボーイ,Betta_Fish,#67190B,#9E3433,#CB6370,#9D362F
エンプティパペット,Betta_Fish,#1C264F,#50547E,#616E9A,#1B3266
オトノケ - Otonoke,Betta_Fish,#313332,#5E7273,#091717,#121921
カオスが極まる,Betta_Fish,#BBBBBB,#BABABA,#D3D2D2,#FEFEFF
カゲロウ,Betta_Fish,#131113,#871111,#D80116,#C30010
カドワナルカ＝ドロップゾンデ,Betta_Fish,#FFC887,#FCEE0F,#F4E735,#F4F25F
カラフル。,kengwang,#FFFFFF,#F8DDC8,#FFFFFF,#FFFFFD
カリスマックス,Betta_Fish,#A5FF01,#F3FEB2,#EAF010,#F0FF52
ガーネット,Betta_Fish,#193119,#A44235,#50785A,#9F4336
ガールズコード,Betta_Fish,#F7E09C,#A8EDD8,#7EDFCB,#FFF1D7
キミを れっつ・はぶ・ふぁん♪,Betta_Fish,#474190,#7856E8,#E8295A,#FE6D32
キミノタメボクノタメ,Betta_Fish,#FBF7F6,#F4D6E2,#ADDDE7,#FFFEF2
キョリ感 (Special Edition),Betta_Fish,#FFF7EC,#ECF896,#D0E6FE,#FFF6E7
キラキラだとか夢だとか ～Sing Girls～,Betta_Fish,#FFA3E7,#8BDA68,#B0F189,#B4E770
キラメキ(期間生産限定盤),Betta_Fish,#C8BFDC,#ACAACF,#BAB5D5,#EFE7F0
ゲド戦記歌集,Betta_Fish,#CD890E,#46231D,#2C3D2B,#9F1815
コハク,Betta_Fish,#7A97D1,#F4DDE5,#E0CAF9,#F3E0FC
コバルトブルーの白昼夢,Betta_Fish,#06040F,#252942,#09235E,#010005
コンプリケイション デュラララ!!盘(期间生産限定盘),Betta_Fish,#D7E0D7,#768B8F,#DBC87D,#F4EDDE
サクラサクミライコイユメ ／ 未来へのMelody,Betta_Fish,#FCFCFC,#D2E7FA,#E1EFF8,#9FB4E9
シュガーソングとビターステップ,Betta_Fish,#5392B8,#0A7FC7,#CFBCAB,#D5C2B1
ジオラマドラマ,Betta_Fish,#E0D7D2,#DFD8D2,#FFF7E6,#F6ECDD
ジョジョ~その血の運命~,Betta_Fish,#221618,#7E0A4E,#291C3A,#1F0E32
スキンズ - Skins,Betta_Fish,#1A222B,#313F5A,#A1A504,#236188
スクールランブル：塚本八雲,Betta_Fish,#FFE3DC,#D14838,#FFD9B2,#FDFCFA
スター,Betta_Fish,#575A9A,#90A6CC,#C1A28D,#E9E7E8
スレイヤーズ MEGUMIXXX,Betta_Fish,#FFFFFF,#F8EF4C,#FAF195,#F7F3EE
ゾンビ,Betta_Fish,#152F4A,#A83356,#0B3251,#123B5B
タカラバコ,Betta_Fish,#AE9A8F,#B09C91,#AD988D,#E9D7C8
ダイダイダイダイダイキライ,Betta_Fish,#58001B,#50041E,#101857,#690B6B
ダーリンゲームオーバーラブ,Betta_Fish,#28050D,#780D27,#8B0329,#883E61
ダーリン・イン・ザ・フランキス エンディング集 vol.1,Betta_Fish,#2D4454,#4E758F,#315E75,#2C5E83
チューリングラブ ／ ピヨ,Betta_Fish,#EC647C,#F5A3A9,#F7A2A9,#F1A2A7
チームメイト／はぐ,Betta_Fish,#9FD19C,#9DD29A,#FEFEFE,#9CCE99
ツギハギスタッカート,Betta_Fish,#FFFFFF,#F0D6B9,#F5CEE9,#FFFFFF
ツバサ,Betta_Fish,#121F30,#14253F,#72543A,#72543A
デイバイデイズ,Betta_Fish,#2D0224,#7E0119,#4B038B,#230124
トゥッティ!,Betta_Fish,#935000,#B36B00,#BF5D42,#AD6809
トリセツ,kengwang,#CFE3C1,#59B793,#FBDDB7,#F7D8D4
トリドリ＊パレット,Betta_Fish,#8ED9B2,#97D9C1,#CEF2D8,#F2F2EF
トンデモ未来空奏図,kengwang,#FFEA01,#FCD305,#FEEA00,#FCEC43
ドクター＝ファンクビート,Betta_Fish,#1E4211,#586D2A,#86954D,#0C2700
ドラえもん,Betta_Fish,#073883,#0885C7,#C36EA9,#043D8E
ドライフラワー,Betta_Fish,#EDA66A,#E6E7E9,#DEE0DD,#E7E6E3
ドラゴンボール 音楽集,Betta_Fish,#E03372,#C94041,#C13332,#C0A06C
ドラマチック,Betta_Fish,#BFBFBF,#FFFFFF,#FFFFFF,#FCFCFC
ドリームCD BOX,Betta_Fish,#F7EDEB,#C59288,#C59C8B,#F4E9E6
ドレス（bloody trinity mix）,Betta_Fish,#08090E,#2A2654,#1074B9,#212759
ネガティブ進化論,Betta_Fish,#1F1920,#2F2651,#5EACD6,#3477D0
ノマド,Betta_Fish,#CEE6E0,#A4CBC3,#A3C3BD,#82A19C
ハピネス オブ ザ デッド,Betta_Fish,#173A60,#393862,#FB9806,#FF5029
ハミング,Betta_Fish,#CBB6B1,#66808F,#CAADA2,#EAE5E2
ハルノヒ,Betta_Fish,#828E8E,#6C7F80,#1D5B72,#272D23
バカ通信,Betta_Fish,#6E6E6E,#C3C3C3,#C1C1C1,#DBDBDB
バンドリ！ ガールズバンドパーティ！ カバーコレクションVol.9,Betta_Fish,#823D37,#D8755D,#68243F,#EE6C78
パズル,Betta_Fish,#1B4965,#E31074,#0287D4,#067DC1
ヒアソビ,Betta_Fish,#8D0859,#9C1660,#3B2C33,#DC3674
ヒロインズ☆ランウェイ,Betta_Fish,#F9E084,#F09543,#F7EA8E,#FBDB84
"ビタミンSUMMER！ ／ Chance Day, Chance Way！【第6話盤】",Betta_Fish,#E8CFE4,#DCADCD,#C6BDD2,#8597D9
"ビタミンSUMMER！ ／ Chance Day, Chance Way！【第8話盤】",kengwang,#F8D00E,#F4DA79,#EFC42E,#FFEA34
ビッグマウス,Betta_Fish,#211A44,#6A467B,#6A4477,#152036
ファイアダンス,Betta_Fish,#EC2508,#791304,#903522,#8E5140
ファイトソング,Betta_Fish,#000600,#800220,#0D233B,#256218
ファティマ (TVアニメ「シュタインズ･ゲート ゼロ」OPテーマ),Betta_Fish,#171C1C,#3E4240,#1A2225,#797456
ファーストワルツ,Betta_Fish,#0B071A,#0886AE,#581D4B,#121936
フローリア,Betta_Fish,#CB1B26,#039998,#688743,#369FA5
ブラックホールディスク,Betta_Fish,#48464A,#7D787E,#4B4A50,#464445
ブルーバード,Betta_Fish,#0C0506,#561421,#5A100D,#441211
プリンセスコネクト！Re：Dive Lost Princess ～ようこそ美食殿へ！～,Betta_Fish,#573D39,#936959,#D79B7C,#4F362D
プロローグ -Star Divine-,kengwang,#9A2D33,#CA8969,#D3AA7C,#D19175
ヘイトフル,Betta_Fish,#0C0101,#000000,#2F0000,#6D0000
ベテルギウス,Betta_Fish,#111221,#0F0F19,#121423,#171624
ホワイトノイズ,Betta_Fish,#39363E,#770E0E,#121212,#373735
ボッカデラベリタ (Cover),Betta_Fish,#120D31,#5817B3,#44B6DE,#6F0DD4
ボルテッカー,Betta_Fish,#4C82B1,#3860C1,#2445CA,#5481B8
ボーキサイトが底をついた件,Betta_Fish,#F6F8F3,#8A7385,#DDFFDD,#FFFCF9
ポッピンキャンディ☆フィーバー！,Betta_Fish,#FF7BAC,#FFA1C4,#FFC9DD,#FF9FC1
マタアイマショウ,Betta_Fish,#888983,#A0A19B,#8FA6A0,#EBEEEA
ミカヅキ,Betta_Fish,#291B37,#2E457D,#161F40,#731226
ミセナイナミダハ、きっといつか,Betta_Fish,#D7F0F7,#589DD6,#9EC9E0,#E4F3F8
ミゼラブル,Betta_Fish,#091414,#0D3E4F,#167095,#8B7800
ミックスナッツ,Betta_Fish,#480000,#3D3C04,#500000,#350400
ムリムリ進化論,Betta_Fish,#FF88BE,#FFFDFE,#8ADAF7,#7FDBFF
メガネを外して,Betta_Fish,#A3F680,#EE74A5,#A7E9A3,#FD9CAD
メグメル／だんご大家族,Betta_Fish,#DFE8F7,#FAEAF4,#C3D0E3,#EBE3F0
メジャー Perfect Song Collection,Betta_Fish,#003330,#5C532C,#2F3D48,#07635E
メニメリ・メモリーズ！,Betta_Fish,#364D60,#608DBB,#22535A,#57A6E1
メロウ (Cover),Betta_Fish,#97E3FB,#8ADFFE,#E6AED1,#DEEBF2
モノノケ・イン・ザ・フィクション,Betta_Fish,#164F55,#287580,#699BA9,#5F92A3
ユラレル,Betta_Fish,#371B17,#D24317,#BD351B,#D24317
ライジングレインボウ,Betta_Fish,#45301E,#3A240F,#88632F,#554023
ラピスのお人形,Betta_Fish,#262832,#737C79,#172031,#5D564E
ラブホリック,Betta_Fish,#F68773,#FCC081,#F3D19B,#FFFFFF
リエラのうた,Betta_Fish,#7A318B,#B03E95,#FBBCD1,#9F358F
リエラのうた2,Betta_Fish,#A7CC65,#9FCB6A,#D8DC50,#DDF549
リセット,Betta_Fish,#A2A9A2,#E4E8E9,#E4EAEA,#92988C
リテラチュア,Betta_Fish,#96B0BD,#8CB6CC,#A8C8D3,#FEFEFE
リバイブ,Betta_Fish,#7C7763,#4F5A4A,#92866C,#616652
レミングス,Betta_Fish,#162232,#28417F,#0F1B31,#22397D
ロウワ―,raspberry_kan,#0E3C74,#E0AB39,#F2838C,#8D8CB2
ロゼッタ,Betta_Fish,#030402,#25320E,#3A4F19,#435B11
ロングホープ・フィリア,Betta_Fish,#4A1C0D,#DA7212,#DC720E,#B35A20
ロングホープ・フィリア (期間生産限定アニメ盤),Betta_Fish,#CDD3D3,#8C8D8A,#F1EDE4,#FCFBF8
ワンダーステラ,Betta_Fish,#2C2C5A,#203A6B,#23326D,#6067B5
ワンダーランズ×ショウタイム SEKAI ALBUM vol.3,Betta_Fish,#48416E,#9A5D69,#363376,#424676
一心不乱,kengwang,#FF0107,#FF0107,#000000,#FD0005
一梦千宵,Betta_Fish,#442B2E,#8C6659,#483E47,#353340
一滴の影響 (Extra Edition),Betta_Fish,#BAD3F1,#029FE6,#93B9E6,#8CBFEE
七色シンフォニー,Betta_Fish,#69C7E9,#29A9CF,#8BCDE1,#E5F2FA
上海ハニー,Betta_Fish,#EA8010,#E53783,#EC8A19,#E87E10
不如逃吧,Betta_Fish,#434F44,#435859,#627973,#667A71
不对等天体（洛希极限）,raspberry_kan,#203F37,#717D6F,#444B9A,#739D6D
不知年,Betta_Fish,#1F181B,#363348,#836469,#080808
不见有情,Betta_Fish,#F5F7F6,#7D8E98,#B6C3CB,#E5EBED
两 难,Betta_Fish,#221E1A,#49443C,#727769,#B7A484
中华一番! スペシャルTVオンエアーミックス& ― オリジナル・サウンドトラック,Betta_Fish,#3D2B42,#B8322C,#392E58,#312936
中国京剧有声大考,Betta_Fish,#2D3528,#6C6948,#B2985E,#BEA56B
中国合唱极品（2）冼星海、聂耳作品-黄河大合唱,Betta_Fish,#27211E,#7E6257,#5C4922,#D39C49
中国说唱巅峰对决 第九期,raspberry_kan,#FCFAFF,#4C75A1,#33C096,#F7FFFF
中国说唱巅峰对决 第五期,Betta_Fish,#6893BD,#77B4E3,#78B7E3,#E5E9F5
乐透人生,Betta_Fish,#14140B,#3A1C05,#663F20,#811B04
乙女解剖 (Cover),Betta_Fish,#1A2A3D,#174060,#183F60,#1364DA
予測不可能Driving!,Betta_Fish,#67CBEF,#F5F9FA,#FEEAE1,#F3F7F8
二千年... 若しくは... 二万年後の君へ・・・,Betta_Fish,#062600,#41543A,#597258,#375A22
二言目 & 「偽物語」劇伴音楽集 其ノ壹,Betta_Fish,#3BA171,#78D9A9,#C790B7,#FFFFFF
亲亲,Betta_Fish,#7B848B,#737574,#8D9391,#A4ADAC
人間開花,Betta_Fish,#2F1B18,#100806,#503F37,#261714
人间不值得,Betta_Fish,#CAD2DF,#727C8F,#A2AFC2,#D8DBE5
今年会更好,Betta_Fish,#DC803F,#C85F48,#C74223,#A7405E
他们根本不是Rapper,Betta_Fish,#0E080C,#551D20,#413C5A,#57262A
伊弉諾物質 ～ Neo-traditionalism of Japan.,Betta_Fish,#257037,#31283D,#8C7D90,#342661
会いたいよ。／君との明日,Betta_Fish,#E1D3C6,#D3B09A,#CDC9C8,#CFCBCA
何なんですか？,Betta_Fish,#CEB4A5,#BEA28C,#B9926B,#683824
余花にみとれて／D／N／A,Betta_Fish,#FBF5F9,#E4D7E9,#F49EA7,#F6EEF1
你那边现在几点？,Betta_Fish,#1B1607,#4F3E24,#F8F105,#3C311B
個々々々々々人,Betta_Fish,#80C0E6,#EEADAD,#FFF0F4,#FEFEFE
倒流时间,Betta_Fish,#0D2941,#0D3479,#554C25,#0E2C50
做自己的月亮,Betta_Fish,#19212C,#274044,#6E8384,#40555A
健将 PLUS MAX Nate 60 Pro 15G 24000万AI十四摄 阿姆斯特朗回旋性能加强 至尊荣耀青春 (破解版),Betta_Fish,#ECA999,#FFFFFF,#FF7471,#FCF4F2
健将mixtape,Betta_Fish,#C9BCB3,#E6E6E6,#DFE1E0,#E0E0DF
像草一样,Betta_Fish,#CC0404,#860404,#460303,#040404
僕は僕であって,Betta_Fish,#070A0F,#2C4151,#5C6B75,#112639
僕らのティーンポップ,Betta_Fish,#B9CF7D,#FCFDF8,#BED178,#F9FAF7
僕らの海でまた会おう,Betta_Fish,#F6E3C2,#20B3DC,#8DDEFB,#94CDC4
優しい彗星,Betta_Fish,#C0E9EF,#6CBFCF,#BDE8EC,#F9FBFA
全力☆Summer!,Betta_Fish,#019FE8,#05A6EE,#D5C25F,#EADD86
八度空间,Betta_Fish,#040603,#73583C,#472F0D,#402B0C
八日目、雨が止む前に。(初回限定盤B),Betta_Fish,#1F1331,#563773,#7E5E82,#321C4D
六弦アストロジー,Betta_Fish,#DDC3CE,#E8CAD4,#E6A7C4,#F8F7F6
冬氤。2016-17,Betta_Fish,#939393,#EAEAEA,#DBDBDB,#FEFEFE
冬眠·2023,Betta_Fish,#E1C1D9,#B3B3B5,#D4D5D7,#E2E2E2
冴えない彼女の育てかた 第2巻 特典CD,Betta_Fish,#FFFFFF,#33C1B4,#8080B6,#FCFCFB
初音ミク 5thバースデー ベスト ~memories~,Betta_Fish,#FF84A3,#97CEEC,#FFDAE4,#FF8AAC
初音ミク-Project DIVA-extend Complete Collection,Betta_Fish,#058CCA,#9CE9EF,#62C4DB,#11B8BE
初音ミクの消失,Betta_Fish,#A6D6C0,#79C69C,#99CDB4,#96CFAE
别让我担心 (Acoustic Ver.),Betta_Fish,#DFED8C,#DEED8E,#BBECB5,#B1EDB9
創生,Betta_Fish,#552727,#501A1C,#4C1015,#301014
劇場版「AIR」サウンドトラック,Betta_Fish,#6C7CA1,#95A1C7,#87C5DF,#D9E6ED
劇場版「BanG Dream! Episode of Roselia」Theme Songs Collection,Betta_Fish,#9CCED7,#FFFFFF,#E6E4EF,#FCB8A5
劇場版「BanG Dream! FILM LIVE 2nd Stage」Special Songs,Betta_Fish,#19192C,#724249,#7D1F4B,#0D1931
劇場版「ワンピース 呪われた聖剣」サウンドトラック,Betta_Fish,#2B2830,#69525D,#2D2F44,#2E3045
劇場版『FAIRY TAIL-鳳凰の巫女-』オリジナル・サウンドトラック,Betta_Fish,#3E150F,#A64436,#902619,#322575
劇場版ポケットモンスター 水の都の護神 ラティアスとラティオス & ピカピカ星空キャンプ MUSIC COLLECTION,Betta_Fish,#754A99,#327FB9,#2280C6,#402E78
匆匆那年 电影原声带,Betta_Fish,#010101,#52575B,#151515,#010101
化けの花,Betta_Fish,#1D202D,#545B72,#7E7DA5,#505968
北京东路的日子,Betta_Fish,#000000,#000000,#1B1B1B,#3B3C3C
北京巷弄,Betta_Fish,#040302,#404036,#211C16,#45463E
十二新作,Betta_Fish,#1F2B39,#44505B,#4A5159,#3A4C62
十八番尽くしの歌宴に祝杯を!,kengwang,#0F1022,#3E282A,#050819,#B57D33
十分。爱精选,Betta_Fish,#12151D,#373942,#797979,#13161F
千千阙歌,Betta_Fish,#222A2D,#283636,#202C2C,#283D3E
千灯展卷,Betta_Fish,#433021,#995E36,#8F4D33,#A54219
升温天线,Betta_Fish,#24B9D7,#23BED8,#C1EBF7,#E9FBFD
午夜の待ち合わせ,Betta_Fish,#0B141B,#415964,#935E4C,#284A54
南京恋爱通告,Betta_Fish,#2E3C3F,#3D5442,#2C393F,#3A4A49
卫星信号,Betta_Fish,#33265E,#0E3291,#5D406F,#242263
卯酉東海道 ～ Retrospective 53 minutes,Betta_Fish,#1B1009,#674528,#584826,#F1D600
即刻晚风,Betta_Fish,#1A335D,#2D5F9B,#63A5D7,#E9F3F8
原神-「未行之路 The Road Not Taken」游戏原声EP专辑,Betta_Fish,#4E7435,#C8AD03,#6E760B,#485D12
去开拓吧！,Betta_Fish,#4576D2,#071B34,#072446,#092348
反乌托邦,Betta_Fish,#2E302F,#445147,#6B7B6E,#575A53
可愛いあの子が気にゐらない,Betta_Fish,#37706B,#537676,#8BA4A4,#DCD5D2
可愛くてごめん,Betta_Fish,#F4ABBF,#C263C0,#F3B0C8,#FADFEB
可愛くてごめん（TVアニメ「時々ボソッとロシア語でデレる隣のアーリャさん」エンディングテーマ）,Betta_Fish,#F0D4E0,#F74F7D,#75AECB,#E8DAE1
可能否,Betta_Fish,#ACACAC,#FBFBFB,#9C9C9C,#F5F5F5
同じ星が見たい,Betta_Fish,#7DEBFA,#4DCAFA,#42C6E8,#B4F3FA
向阳鸟,Betta_Fish,#21130B,#391F10,#0B0803,#4F2F16
君のままで,Betta_Fish,#37332C,#7C6741,#7A6923,#C9C154
君の名は。,Betta_Fish,#1F3142,#32516B,#371D74,#203B4E
君の知らない物語,Betta_Fish,#384959,#1B2A31,#6B7980,#2B3A43
君色シグナル,Betta_Fish,#C08039,#DC9953,#DFDBDA,#DD9D56
听见中国听见你,raspberry_kan,#8C2C20,#DBAA75,#D19D52,#892B1F
吹き消した灯火,Betta_Fish,#82C6F5,#CDC5B8,#8CC8F1,#FFFFFF
吻别,Betta_Fish,#18100D,#8D342E,#8D2E28,#DB3E2B
哔哩哔哩拜年纪金曲回顾,Betta_Fish,#2C1724,#6A393D,#2B1A2D,#301E2E
哭你一條河,Betta_Fish,#004C83,#92064D,#468339,#A7A40E
喜欢你,Betta_Fish,#303C4C,#3E5572,#475061,#303C4A
嗵嗵,Betta_Fish,#020304,#262B36,#232935,#000000
圣诞星 (feat. 杨瑞代),Betta_Fish,#110402,#5E2D0F,#C1772C,#3F0201
在雨后醒来,Betta_Fish,#2D6E94,#BCCCD9,#88B2C0,#578BA1
堕天,Betta_Fish,#C5695E,#A5B9C0,#A3BFCB,#A5B9C0
境界の彼方(アニメ盤),raspberry_kan,#3F2B60,#51273B,#282F75,#264178
声光回忆,Betta_Fish,#262919,#212517,#A37D3C,#31301E
壱雫空,kengwang,#5CC3D2,#A8D8E2,#508FB5,#53A6C8
夏に閉じこめて,Betta_Fish,#371F2A,#9A4F32,#69362D,#4B3442
夏祭り,Betta_Fish,#0F0B09,#5B4633,#110C09,#5B4635
夏至未至 影视原声带,Betta_Fish,#4C8237,#759F5F,#61964E,#7B9B5A
夕日坂,Betta_Fish,#794B1A,#E4A436,#C89842,#5A4518
夕暮れの鳥／光の言葉,kengwang,#FFFFFF,#FFF000,#E8DF49,#E9E9E9
夜に駆ける,Betta_Fish,#364A6C,#456E87,#AB6B7F,#C24F65
夜は眠れるかい？ 通常盤,Betta_Fish,#090504,#291F1B,#0A0404,#000000
夢なき夢を夢じゃない,Betta_Fish,#FFFFFF,#F1DCEB,#FAF0D7,#EFE3ED
夢ファンファーレ (Type RED),Betta_Fish,#4E1118,#A62C32,#4C110D,#760D1B
大东北我的家乡,Betta_Fish,#95AAC9,#FEFFFF,#CED4E7,#F0F2F6
大喜,Betta_Fish,#E9DAC3,#FE5677,#E1BCA7,#EECE93
大型纪录片《紫禁城》主题歌音乐专辑,Betta_Fish,#A2360F,#9A410D,#915A17,#C5C168
大声唱,Betta_Fish,#39280E,#916731,#D5A32C,#A28703
大嫌いなはずだった。,Betta_Fish,#D6B870,#F0D993,#D9BA80,#F7F0D8
大雄,Betta_Fish,#5D2441,#F30704,#8B2759,#6F3B47
大预言家,kengwang,#0A0C16,#030F29,#17111B,#04122F
大马 Music Man 纪念精选辑,Betta_Fish,#0A0E14,#2F3D4B,#77838E,#B9CFD7
天天天国地獄国 (feat. ななひら & P丸様。),Betta_Fish,#250D10,#43000A,#46000D,#00215D
天天天国地獄国 (feat. 初音ミク & 重音テト) [Cover],raspberry_kan,#FEF1E1,#CE314A,#4FE1D7,#FFC9B4
天気の子,Betta_Fish,#00B8E7,#009DE2,#D9E5C1,#A9DAF8
天空カフェテリア,Betta_Fish,#CDB3CC,#99808A,#C7B4BC,#F1EBE7
奏 (かなで),Betta_Fish,#F5E06B,#E7BD6B,#F1E17F,#CDAF89
奔赴星空,Betta_Fish,#040911,#0A1224,#313751,#090F1F
妄想税,Betta_Fish,#E8E1CF,#EFC974,#F2C765,#FADBAF
始まりは君の空 (私を叶える物語盤),Betta_Fish,#6B6EBF,#696EBA,#6F73BD,#798AD0
宇宙孤儿,Betta_Fish,#538FCD,#DE8D3C,#B2D845,#D23EB8
守りたいもの,Betta_Fish,#08132C,#51A3B7,#123A75,#163971
安卓音乐,Betta_Fish,#BB0505,#6F0304,#083547,#008EC4
寂寞不痛,Betta_Fish,#301117,#703D3D,#BE8D79,#240B0E
"寄る辺のSunny, Sunny",Betta_Fish,#DFCFDC,#E1D5DF,#DBD7EE,#575E73
寄往未来的信,Betta_Fish,#B5AA94,#CFD0C2,#D1CFC2,#D6D4C5
寄生獣 セイの格率 オリジナル・サウンドトラック,Betta_Fish,#050836,#C5120C,#1B4AAF,#2275AB
小さな恋のうた（TVアニメ「時々ボソッとロシア語でデレる隣のアーリャさん」エンディングテーマ）,Betta_Fish,#F7DCE5,#FDE0E4,#EDE2E8,#0499C4
小喋日和,Betta_Fish,#F87E75,#3D6CB0,#1D4791,#1D4791
小城夏天,Betta_Fish,#8CD3D9,#8EE4EF,#D6AF84,#96D6DE
小贩,Betta_Fish,#412814,#3B2C23,#162334,#050505
小霞 2.0,Betta_Fish,#9F9F9F,#A9A9A9,#D2D2D2,#FFFFFF
尘,Betta_Fish,#DD5A2C,#DE5F36,#DB8C85,#D65929
尘大师,Betta_Fish,#130A05,#5F432E,#71543C,#8B6C53
山春,Betta_Fish,#040504,#4C5D59,#1F2525,#232727
山海问爱人,raspberry_kan,#28405A,#895852,#415E6E,#633525
崖の上のポニョ,Betta_Fish,#2A6955,#3D5B65,#5D7C79,#0C764E
崩坏3「黄金庭院：冬日里的新年愿望」Original Soundtrack,Betta_Fish,#98A2BF,#D9C0D1,#C8C9D6,#CCDCF3
崩坏星穹铁道-不虚此行 On the Journey,Betta_Fish,#72ACDE,#8AC5E5,#A2D4E7,#A1DAEE
幕を下ろそう、パレードへ,Betta_Fish,#3E0818,#7B097E,#7F0CA9,#040005
幻想曲抜萃 (東方萃夢想 ORIGINAL SOUND TRACK),Betta_Fish,#572457,#B7585E,#DB262D,#65148A
庆长生,Betta_Fish,#12306E,#DBC754,#7C7545,#4F5DA6
廿,Betta_Fish,#E2145E,#9D0126,#4F0016,#840D2F
弥渡山歌（说唱版）,kengwang,#42474A,#555E5D,#874B31,#565C5A
強欲な獣のムジカ (東方剛欲異聞 ORIGINAL SOUND TRACK),Betta_Fish,#2B212C,#311E1E,#5B372D,#704C38
彼女がフラグをおられたら 第3卷 特典CD,Betta_Fish,#F6E2CA,#FDFEF0,#E0C3AB,#FDFCF9
往け,Betta_Fish,#FBFAE6,#F0F5DF,#9ED0EB,#F1F3E6
往欄印,Betta_Fish,#325F5A,#6F9786,#315345,#9FAF94
徒花ネクロマンシー,Betta_Fish,#4A1411,#8B7900,#52142B,#70112A
德语翻唱系列,Betta_Fish,#E5E5E5,#E1DDD1,#A7C8B7,#E4E4E2
心中的日月,Betta_Fish,#0F0E10,#332F30,#0E0E0E,#2F333C
心意已决,Betta_Fish,#151515,#191919,#3A3A3A,#0D0D0D
心臓を捧げよ! (TV Size),Betta_Fish,#010024,#380F14,#000026,#45080D
忘不掉的你,Betta_Fish,#10216D,#284FB7,#2B62C9,#193694
忘形,Betta_Fish,#13110C,#19252A,#3D271E,#503A2C
"快恠奇奇 ALI PROJECT Ventennale Music, Art Exhibition",Betta_Fish,#E1E9F6,#B0C6ED,#4F8AC6,#DADCDF
怪物,raspberry_kan,#B40100,#550F0F,#2E0000,#9F2827
恋のうた  feat. 由崎司,Betta_Fish,#4FA0D8,#4E9ED1,#55AADC,#449FD8
恋愛小説,Betta_Fish,#361C11,#6B3E25,#582F19,#64381F
恋爱告急,Betta_Fish,#12141D,#073F74,#033C71,#095893
恋風,Betta_Fish,#A6AEF9,#9C9CDC,#DBA9CA,#DE8BA9
悠哉日常~悠哉~悠哉,Betta_Fish,#2F675E,#699DAB,#164F60,#1E967B
想对你说,raspberry_kan,#E6E6E6,#C0CDDE,#9EBDD2,#ACBCC9
愚痴り合い～聞いてよ最近彼氏がさ、～,kengwang,#EEF1FA,#FD7B8D,#F1EFF4,#9FBFEE
愛されなくても君がいる,Betta_Fish,#F6A5E4,#77EEDB,#73E4D2,#F1EBED
愛と花,Betta_Fish,#F5BBCA,#C3BDDF,#94AFDC,#FDFCFD
愛言葉IV,Betta_Fish,#FBDCCA,#B5E6F7,#93D0FD,#7AA8E6
我不离开,Betta_Fish,#DBEEFD,#DDEDFD,#D7E7F5,#FEFFFF
我们以后要结婚,Betta_Fish,#A4171F,#C11C28,#8D2331,#BD803F
我去2000年,Betta_Fish,#FBDF61,#F4E5C4,#C0832A,#F3DC6C
我只在乎你,Betta_Fish,#BB1F68,#B82067,#CD4D64,#D4A160
我妈爱Say No,kengwang,#A9B5C1,#F1099D,#2D6BA6,#8692A8
我是歌手 2015巅峰会,raspberry_kan,#E9E28A,#34BEAF,#E0EBE7,#DA91AB
我是歌手第二季 半决赛,Betta_Fish,#23161C,#1B1217,#3B3853,#5D323B
我是歌手第二季 总决赛,Betta_Fish,#23161C,#160D10,#AB7225,#3A1E00
我爱你但是我要回家,Betta_Fish,#E8CE57,#D47B53,#E0BA4B,#D37454
戸松遥 BEST SELECTION -starlight-,kengwang,#B6C9E9,#CAD9EC,#C2CCE5,#E6ECF8
打火机,Betta_Fish,#80BEC9,#C2CACC,#E4DFCB,#DFDCC9
摩天动物园,Betta_Fish,#1A1B51,#23245C,#7F5D5C,#27285E
故に。,Betta_Fish,#CAC6C5,#FFFFFF,#FFFFFF,#FEFEFE
故装放下,Betta_Fish,#553633,#5B3C33,#533831,#64463E
敕勒歌,Betta_Fish,#3E5891,#345983,#4C6547,#103377
敢归云间宿,Betta_Fish,#593D25,#876C61,#5E7392,#252A3D
文学少女インセイン,kengwang,#6C2722,#923B2A,#A1302A,#582923
斗鱼 电视原声带,kengwang,#10120D,#521212,#181914,#10120D
新·神明对话日记,kengwang,#D4EAFF,#99D4E8,#FFFFFF,#98E5FF
新時代 (ウタ from ONE PIECE FILM RED),Betta_Fish,#D88BAF,#EACBA5,#F1E1CE,#F1E0CE
新说唱2025 第十二期,Betta_Fish,#32150F,#7E3725,#361712,#441711
旋律渐叙,Betta_Fish,#0E0C0C,#4E3A32,#A18171,#523C31
无名的人,Betta_Fish,#291B1A,#681801,#582F19,#89512E
无名长诗,Betta_Fish,#080407,#773531,#C78584,#EFD3C3
无情怪物,Betta_Fish,#3B1C42,#7B3084,#442757,#59358C
无法告别的梦境,Betta_Fish,#5080E4,#6FA7F5,#A3C1F5,#E4F0F9
无边记,Betta_Fish,#1B3D63,#0E85D8,#6357AD,#1A416A
日本アニメーション創立25周年企画 アニメ主題歌大全集 ～オリジナル原盤による～,Betta_Fish,#F6FF9F,#E0E4E7,#FEFEFE,#FEFEFC
时光.漫步,Betta_Fish,#0F1013,#36363C,#333238,#0D1114
明日は君と。,Betta_Fish,#BDE0F6,#D9E9F6,#F2D0DE,#C3E0F2
明朝有意抱琴来,raspberry_kan,#FFF8EE,#B2AFDE,#FFFFFF,#C770B4
